BMPS PLTNTS LRSEGS LOADSRCS E
ConPlan N N51133RL0_6450_0000 aop 0.03
ConPlan P N51133RL0_6450_0000 aop 0.05
ConPlan S N51133RL0_6450_0000 aop 0.08
WaterContStruc N N51133RL0_6450_0000 aop 0.33
WaterContStruc P N51133RL0_6450_0000 aop 0.0
WaterContStruc S N51133RL0_6450_0000 aop 0.0
DitchFilter N N51133RL0_6450_0000 aop 0.0
DitchFilter P N51133RL0_6450_0000 aop 0.4
DitchFilter S N51133RL0_6450_0000 aop 0.0
ConPlan N N51133RL0_6450_0000 soy 0.08
ConPlan P N51133RL0_6450_0000 soy 0.15
ConPlan S N51133RL0_6450_0000 soy 0.25
WaterContStruc N N51133RL0_6450_0000 soy 0.33
WaterContStruc P N51133RL0_6450_0000 soy 0.0
WaterContStruc S N51133RL0_6450_0000 soy 0.0
CoverCropTradRED N N51133RL0_6450_0000 soy 0.45
CoverCropTradRED P N51133RL0_6450_0000 soy 0.0
CoverCropTradRED S N51133RL0_6450_0000 soy 0.0
CoverCropTradREO N N51133RL0_6450_0000 soy 0.38
CoverCropTradREO P N51133RL0_6450_0000 soy 0.0
CoverCropTradREO S N51133RL0_6450_0000 soy 0.0
CoverCropTradREA N N51133RL0_6450_0000 soy 0.25
CoverCropTradREA P N51133RL0_6450_0000 soy 0.0
CoverCropTradREA S N51133RL0_6450_0000 soy 0.0
CoverCropTradRND N N51133RL0_6450_0000 soy 0.41
CoverCropTradRND P N51133RL0_6450_0000 soy 0.0
CoverCropTradRND S N51133RL0_6450_0000 soy 0.0
CoverCropTradRNO N N51133RL0_6450_0000 soy 0.35
CoverCropTradRNO P N51133RL0_6450_0000 soy 0.0
CoverCropTradRNO S N51133RL0_6450_0000 soy 0.0
CoverCropTradNutBREO N N51133RL0_6450_0000 soy 0.19
CoverCropTradNutBREO P N51133RL0_6450_0000 soy 0.0
CoverCropTradNutBREO S N51133RL0_6450_0000 soy 0.0
CoverCropTradRLD N N51133RL0_6450_0000 soy 0.19
CoverCropTradRLD P N51133RL0_6450_0000 soy 0.0
CoverCropTradRLD S N51133RL0_6450_0000 soy 0.0
CoverCropTradRLO N N51133RL0_6450_0000 soy 0.16
CoverCropTradRLO P N51133RL0_6450_0000 soy 0.0
CoverCropTradRLO S N51133RL0_6450_0000 soy 0.0
CoverCropTradWED N N51133RL0_6450_0000 soy 0.31
CoverCropTradWED P N51133RL0_6450_0000 soy 0.0
CoverCropTradWED S N51133RL0_6450_0000 soy 0.0
CoverCropTradWEO N N51133RL0_6450_0000 soy 0.27
CoverCropTradWEO P N51133RL0_6450_0000 soy 0.0
CoverCropTradWEO S N51133RL0_6450_0000 soy 0.0
CoverCropTradWEA N N51133RL0_6450_0000 soy 0.17
CoverCropTradWEA P N51133RL0_6450_0000 soy 0.0
CoverCropTradWEA S N51133RL0_6450_0000 soy 0.0
CoverCropTradWND N N51133RL0_6450_0000 soy 0.29
CoverCropTradWND P N51133RL0_6450_0000 soy 0.0
CoverCropTradWND S N51133RL0_6450_0000 soy 0.0
CoverCropTradWNO N N51133RL0_6450_0000 soy 0.24
CoverCropTradWNO P N51133RL0_6450_0000 soy 0.0
CoverCropTradWNO S N51133RL0_6450_0000 soy 0.0
Injection N N51133RL0_6450_0000 soy 0.12
Injection P N51133RL0_6450_0000 soy 0.22
Injection S N51133RL0_6450_0000 soy 0.0
CoverCropTradWLD N N51133RL0_6450_0000 soy 0.13
CoverCropTradWLD P N51133RL0_6450_0000 soy 0.0
CoverCropTradWLD S N51133RL0_6450_0000 soy 0.0
IncorpLowEarly N N51133RL0_6450_0000 soy 0.08
IncorpLowEarly P N51133RL0_6450_0000 soy 0.14
IncorpLowEarly S N51133RL0_6450_0000 soy 0.0
IncorpHighEarly N N51133RL0_6450_0000 soy 0.08
IncorpHighEarly P N51133RL0_6450_0000 soy 0.14
IncorpHighEarly S N51133RL0_6450_0000 soy 0.0
CoverCropTradWLO N N51133RL0_6450_0000 soy 0.11
CoverCropTradWLO P N51133RL0_6450_0000 soy 0.0
CoverCropTradWLO S N51133RL0_6450_0000 soy 0.0
IncorpLowLate N N51133RL0_6450_0000 soy 0.08
IncorpLowLate P N51133RL0_6450_0000 soy 0.14
IncorpLowLate S N51133RL0_6450_0000 soy 0.0
IncorpHighLate N N51133RL0_6450_0000 soy 0.08
IncorpHighLate P N51133RL0_6450_0000 soy 0.14
IncorpHighLate S N51133RL0_6450_0000 soy 0.0
CoverCropTradBED N N51133RL0_6450_0000 soy 0.38
CoverCropTradBED P N51133RL0_6450_0000 soy 0.0
CoverCropTradBED S N51133RL0_6450_0000 soy 0.0
CoverCropTradNutOHND N N51133RL0_6450_0000 soy 0.16
CoverCropTradNutOHND P N51133RL0_6450_0000 soy 0.0
CoverCropTradNutOHND S N51133RL0_6450_0000 soy 0.0
CoverCropTradBEO N N51133RL0_6450_0000 soy 0.32
CoverCropTradBEO P N51133RL0_6450_0000 soy 0.0
CoverCropTradBEO S N51133RL0_6450_0000 soy 0.0
CoverCropTradBEA N N51133RL0_6450_0000 soy 0.21
CoverCropTradBEA P N51133RL0_6450_0000 soy 0.0
CoverCropTradBEA S N51133RL0_6450_0000 soy 0.0
CoverCropTradBND N N51133RL0_6450_0000 soy 0.29
CoverCropTradBND P N51133RL0_6450_0000 soy 0.0
CoverCropTradBND S N51133RL0_6450_0000 soy 0.0
CoverCropTradBNO N N51133RL0_6450_0000 soy 0.24
CoverCropTradBNO P N51133RL0_6450_0000 soy 0.0
CoverCropTradBNO S N51133RL0_6450_0000 soy 0.0
CoverCropTradNutOHNO N N51133RL0_6450_0000 soy 0.14
CoverCropTradNutOHNO P N51133RL0_6450_0000 soy 0.0
CoverCropTradNutOHNO S N51133RL0_6450_0000 soy 0.0
CoverCropTradFED N N51133RL0_6450_0000 soy 0.26
CoverCropTradFED P N51133RL0_6450_0000 soy 0.0
CoverCropTradFED S N51133RL0_6450_0000 soy 0.0
CoverCropTradFEO N N51133RL0_6450_0000 soy 0.22
CoverCropTradFEO P N51133RL0_6450_0000 soy 0.0
CoverCropTradFEO S N51133RL0_6450_0000 soy 0.0
CoverCropTradNutARNO N N51133RL0_6450_0000 soy 0.16
CoverCropTradNutARNO P N51133RL0_6450_0000 soy 0.0
CoverCropTradNutARNO S N51133RL0_6450_0000 soy 0.0
CoverCropTradNutOHED N N51133RL0_6450_0000 soy 0.17
CoverCropTradNutOHED P N51133RL0_6450_0000 soy 0.0
CoverCropTradNutOHED S N51133RL0_6450_0000 soy 0.0
CoverCropTradNutOHEO N N51133RL0_6450_0000 soy 0.15
CoverCropTradNutOHEO P N51133RL0_6450_0000 soy 0.0
CoverCropTradNutOHEO S N51133RL0_6450_0000 soy 0.0
CoverCropTradFEA N N51133RL0_6450_0000 soy 0.14
CoverCropTradFEA P N51133RL0_6450_0000 soy 0.0
CoverCropTradFEA S N51133RL0_6450_0000 soy 0.0
CoverCropTradFPED N N51133RL0_6450_0000 soy 0.29
CoverCropTradFPED P N51133RL0_6450_0000 soy 0.0
CoverCropTradFPED S N51133RL0_6450_0000 soy 0.0
CoverCropTradFPEO N N51133RL0_6450_0000 soy 0.25
CoverCropTradFPEO P N51133RL0_6450_0000 soy 0.0
CoverCropTradFPEO S N51133RL0_6450_0000 soy 0.0
CoverCropTradFPEA N N51133RL0_6450_0000 soy 0.16
CoverCropTradFPEA P N51133RL0_6450_0000 soy 0.0
CoverCropTradFPEA S N51133RL0_6450_0000 soy 0.0
DitchFilter N N51133RL0_6450_0000 soy 0.0
DitchFilter P N51133RL0_6450_0000 soy 0.4
DitchFilter S N51133RL0_6450_0000 soy 0.0
CoverCropTradFPND N N51133RL0_6450_0000 soy 0.22
CoverCropTradFPND P N51133RL0_6450_0000 soy 0.0
CoverCropTradFPND S N51133RL0_6450_0000 soy 0.0
CoverCropTradFPNO N N51133RL0_6450_0000 soy 0.18
CoverCropTradFPNO P N51133RL0_6450_0000 soy 0.0
CoverCropTradFPNO S N51133RL0_6450_0000 soy 0.0
CoverCropTradLED N N51133RL0_6450_0000 soy 0.07
CoverCropTradLED P N51133RL0_6450_0000 soy 0.0
CoverCropTradLED S N51133RL0_6450_0000 soy 0.0
CoverCropTradLEO N N51133RL0_6450_0000 soy 0.06
CoverCropTradLEO P N51133RL0_6450_0000 soy 0.0
CoverCropTradLEO S N51133RL0_6450_0000 soy 0.0
CoverCropTradLEA N N51133RL0_6450_0000 soy 0.04
CoverCropTradLEA P N51133RL0_6450_0000 soy 0.0
CoverCropTradLEA S N51133RL0_6450_0000 soy 0.0
CoverCropTradLND N N51133RL0_6450_0000 soy 0.06
CoverCropTradLND P N51133RL0_6450_0000 soy 0.0
CoverCropTradLND S N51133RL0_6450_0000 soy 0.0
LowResTill N N51133RL0_6450_0000 soy 0.02
LowResTill P N51133RL0_6450_0000 soy 0.06
LowResTill S N51133RL0_6450_0000 soy 0.18
ConserveTill N N51133RL0_6450_0000 soy 0.04
ConserveTill P N51133RL0_6450_0000 soy 0.02
ConserveTill S N51133RL0_6450_0000 soy 0.41
CoverCropTradNutBRED N N51133RL0_6450_0000 soy 0.22
CoverCropTradNutBRED P N51133RL0_6450_0000 soy 0.0
CoverCropTradNutBRED S N51133RL0_6450_0000 soy 0.0
CoverCropTradLNO N N51133RL0_6450_0000 soy 0.06
CoverCropTradLNO P N51133RL0_6450_0000 soy 0.0
CoverCropTradLNO S N51133RL0_6450_0000 soy 0.0
CoverCropTradLGLED N N51133RL0_6450_0000 soy 0.2
CoverCropTradLGLED P N51133RL0_6450_0000 soy 0.0
CoverCropTradLGLED S N51133RL0_6450_0000 soy 0.0
CropIrrMgmt N N51133RL0_6450_0000 soy 0.04
CropIrrMgmt P N51133RL0_6450_0000 soy 0.0
CropIrrMgmt S N51133RL0_6450_0000 soy 0.0
NMRateP N N51133RL0_6450_0000 soy 0.0
NMRateP P N51133RL0_6450_0000 soy 0.05
NMRateP S N51133RL0_6450_0000 soy 0.0
NMPlaceP N N51133RL0_6450_0000 soy 0.0
NMPlaceP P N51133RL0_6450_0000 soy 0.1
NMPlaceP S N51133RL0_6450_0000 soy 0.0
NMTimeP N N51133RL0_6450_0000 soy 0.0
NMTimeP P N51133RL0_6450_0000 soy 0.01
NMTimeP S N51133RL0_6450_0000 soy 0.0
