LRSEGS LOADSRCS PLTNTS phi
N51133RL0_6450_0000 aop N 129.2
N51133RL0_6450_0000 aop P 25.2
N51133RL0_6450_0000 aop S 1072.8
N51133RL0_6450_0000 soy N 34949.5
N51133RL0_6450_0000 soy P 321.2
N51133RL0_6450_0000 soy S 1092874.5
N51133RL0_6450_0000 gwm N 36486.5
N51133RL0_6450_0000 gwm P 336.4
N51133RL0_6450_0000 gwm S 486284.5
N51133RL0_6450_0000 gom N 115624.3
N51133RL0_6450_0000 gom P 883.5
N51133RL0_6450_0000 gom S 2215296.0
N51133RL0_6450_0000 lhy N 91.7
N51133RL0_6450_0000 lhy P 0.6
N51133RL0_6450_0000 lhy S 688.8
N51133RL0_6450_0000 swm N 196.9
N51133RL0_6450_0000 swm P 2.3
N51133RL0_6450_0000 swm S 5510.0
N51133RL0_6450_0000 som N 30.3
N51133RL0_6450_0000 som P 0.3
N51133RL0_6450_0000 som S 972.4
N51133RL0_6450_0000 sgg N 4132.8
N51133RL0_6450_0000 sgg P 54.2
N51133RL0_6450_0000 sgg S 131903.6
N51133RL0_6450_0000 dbl N 114665.3
N51133RL0_6450_0000 dbl P 1543.2
N51133RL0_6450_0000 dbl S 2774448.3
N51133RL0_6450_0000 sch N 527.9
N51133RL0_6450_0000 sch P 19.1
N51133RL0_6450_0000 sch S 13489.2
N51133RL0_6450_0000 scl N 174.7
N51133RL0_6450_0000 scl P 27.7
N51133RL0_6450_0000 scl S 19939.0
N51133RL0_6450_0000 oac N 3996.9
N51133RL0_6450_0000 oac P 88.4
N51133RL0_6450_0000 oac S 204904.3
N51133RL0_6450_0000 ohy N 1117.0
N51133RL0_6450_0000 ohy P 5.5
N51133RL0_6450_0000 ohy S 2184.9
N51133RL0_6450_0000 pas N 3703.6
N51133RL0_6450_0000 pas P 152.1
N51133RL0_6450_0000 pas S 16986.5
N51133RL0_6450_0000 fsp N 0.0
N51133RL0_6450_0000 fsp P 0.0
N51133RL0_6450_0000 fsp S 0.0
N51133RL0_6450_0000 fnp N 3.4
N51133RL0_6450_0000 fnp P 0.2
N51133RL0_6450_0000 fnp S 2113.6
N51133RL0_6450_0000 nir N 9615.4
N51133RL0_6450_0000 nir P 473.0
N51133RL0_6450_0000 nir S 301886.8
N51133RL0_6450_0000 nnr N 7835.2
N51133RL0_6450_0000 nnr P 405.8
N51133RL0_6450_0000 nnr S 311546.1
N51133RL0_6450_0000 nci N 7318.1
N51133RL0_6450_0000 nci P 357.4
N51133RL0_6450_0000 nci S 268126.8
N51133RL0_6450_0000 nch N 14962.7
N51133RL0_6450_0000 nch P 2125.4
N51133RL0_6450_0000 nch S 391506.8
N51133RL0_6450_0000 ntg N 27509.7
N51133RL0_6450_0000 ntg P 3931.0
N51133RL0_6450_0000 ntg S 514877.8
N51133RL0_6450_0000 mir N 0.0
N51133RL0_6450_0000 mir P 0.0
N51133RL0_6450_0000 mir S 0.0
N51133RL0_6450_0000 mnr N 0.0
N51133RL0_6450_0000 mnr P 0.0
N51133RL0_6450_0000 mnr S 0.0
N51133RL0_6450_0000 mci N 0.0
N51133RL0_6450_0000 mci P 0.0
N51133RL0_6450_0000 mci S 0.0
N51133RL0_6450_0000 mch N 0.0
N51133RL0_6450_0000 mch P 0.0
N51133RL0_6450_0000 mch S 0.0
N51133RL0_6450_0000 mtg N 0.0
N51133RL0_6450_0000 mtg P 0.0
N51133RL0_6450_0000 mtg S 0.0
N51133RL0_6450_0000 mcn N 720.1
N51133RL0_6450_0000 mcn P 102.6
N51133RL0_6450_0000 mcn S 81445.2
N51133RL0_6450_0000 cir N 0.0
N51133RL0_6450_0000 cir P 0.0
N51133RL0_6450_0000 cir S 0.0
N51133RL0_6450_0000 cnr N 0.0
N51133RL0_6450_0000 cnr P 0.0
N51133RL0_6450_0000 cnr S 0.0
N51133RL0_6450_0000 cci N 0.0
N51133RL0_6450_0000 cci P 0.0
N51133RL0_6450_0000 cci S 0.0
N51133RL0_6450_0000 cch N 0.0
N51133RL0_6450_0000 cch P 0.0
N51133RL0_6450_0000 cch S 0.0
N51133RL0_6450_0000 ctg N 0.0
N51133RL0_6450_0000 ctg P 0.0
N51133RL0_6450_0000 ctg S 0.0
N51133RL0_6450_0000 ccn N 0.0
N51133RL0_6450_0000 ccn P 0.0
N51133RL0_6450_0000 ccn S 0.0
N51133RL0_6450_0000 cmo N 0.0
N51133RL0_6450_0000 cmo P 0.0
N51133RL0_6450_0000 cmo S 0.0
N51133RL0_6450_0000 cfr N 0.0
N51133RL0_6450_0000 cfr P 0.0
N51133RL0_6450_0000 cfr S 0.0
N51133RL0_6450_0000 hfr N 2917.1
N51133RL0_6450_0000 hfr P 45.6
N51133RL0_6450_0000 hfr S 33185.5
N51133RL0_6450_0000 for N 50677.2
N51133RL0_6450_0000 for P 1730.1
N51133RL0_6450_0000 for S 353787.7
N51133RL0_6450_0000 wfp N 1116.7
N51133RL0_6450_0000 wfp P 38.1
N51133RL0_6450_0000 wfp S 7787.9
N51133RL0_6450_0000 wto N 1126.7
N51133RL0_6450_0000 wto P 38.5
N51133RL0_6450_0000 wto S 7877.8
N51133RL0_6450_0000 osp N 1634.7
N51133RL0_6450_0000 osp P 181.4
N51133RL0_6450_0000 osp S 287918.3
N51133RL0_6450_0000 wat N 8297.5
N51133RL0_6450_0000 wat P 832.8
N51133RL0_6450_0000 wat S 0.0
