LRSEGS LOADSRCS T
N51133RL0_6450_0000 aop 37.18482971191406
N51133RL0_6450_0000 soy 1631.665771484375
N51133RL0_6450_0000 gwm 796.68212890625
N51133RL0_6450_0000 gom 3629.329345703125
N51133RL0_6450_0000 lhy 11.917086601257324
N51133RL0_6450_0000 swm 4.358745098114014
N51133RL0_6450_0000 som 0.7691903114318848
N51133RL0_6450_0000 sgg 149.78634643554688
N51133RL0_6450_0000 dbl 3524.1953125
N51133RL0_6450_0000 sch 13.384194374084473
N51133RL0_6450_0000 scl 18.467817306518555
N51133RL0_6450_0000 oac 259.9378662109375
N51133RL0_6450_0000 ohy 112.03997039794922
N51133RL0_6450_0000 pas 423.26470947265625
N51133RL0_6450_0000 fsp 0.0
N51133RL0_6450_0000 fnp 0.417577475309372
N51133RL0_6450_0000 nir 582.080810546875
N51133RL0_6450_0000 nnr 600.7058715820312
N51133RL0_6450_0000 nci 485.7993469238281
N51133RL0_6450_0000 nch 2023.723388671875
N51133RL0_6450_0000 ntg 2834.60400390625
N51133RL0_6450_0000 mir 0.0
N51133RL0_6450_0000 mnr 0.0
N51133RL0_6450_0000 mci 0.0
N51133RL0_6450_0000 mch 0.0
N51133RL0_6450_0000 mtg 0.0
N51133RL0_6450_0000 mcn 32.488784790039055
N51133RL0_6450_0000 cir 0.0
N51133RL0_6450_0000 cnr 0.0
N51133RL0_6450_0000 cci 0.0
N51133RL0_6450_0000 cch 0.0
N51133RL0_6450_0000 ctg 0.0
N51133RL0_6450_0000 ccn 0.0
N51133RL0_6450_0000 cmo 0.0
N51133RL0_6450_0000 cfr 0.0
N51133RL0_6450_0000 hfr 299.0216979980469
N51133RL0_6450_0000 for 36711.96484375
N51133RL0_6450_0000 wfp 808.9353637695312
N51133RL0_6450_0000 wto 816.2432861328125
N51133RL0_6450_0000 osp 822.9346923828125
N51133RL0_6450_0000 wat 1408.9984130859375
