StateUniqueIdentifier	AgencyCode	StateAbbreviation	BmpShortname	GeographyName	LoadSourceGroup	Amount	Unit
beebop	NONFED	MD	CSOConnect	N42001PU2_2790_3290	CSS Mixed Open	1	Acres
beebop	NONFED	MD	CSOConnect	N42001PU2_2790_3290	CSS Forest	1	Acres
beebop	NONFED	MD	ForHarvestBMP	N42001PU2_2790_3290	Harvested Forest	1	Acres
beebop	NONFED	MD	WetlandEnhance	N42001PU2_2790_3290	Non-tidal Floodplain Wetland	1	Acres
beebop	NONFED	MD	WetlandRehabilitate	N42001PU2_2790_3290	Non-tidal Floodplain Wetland	1	Acres
beebop	NONFED	MD	WetlandEnhance	N42001PU2_2790_3290	Headwater or Isolated Wetland	1	Acres
beebop	NONFED	MD	WetlandRehabilitate	N42001PU2_2790_3290	Headwater or Isolated Wetland	1	Acres
beebop	NONFED	MD	AbanMineRec	N42001PU2_2790_3290	Mixed Open	1	Acres
beebop	NONFED	MD	CSOConnect	N42001SL3_2460_2430	CSS Mixed Open	1	Acres
beebop	NONFED	MD	CSOConnect	N42001SL3_2460_2430	CSS Forest	1	Acres
beebop	NONFED	MD	ForHarvestBMP	N42001SL3_2460_2430	Harvested Forest	1	Acres
beebop	NONFED	MD	WetlandEnhance	N42001SL3_2460_2430	Non-tidal Floodplain Wetland	1	Acres
beebop	NONFED	MD	WetlandRehabilitate	N42001SL3_2460_2430	Non-tidal Floodplain Wetland	1	Acres
beebop	NONFED	MD	WetlandEnhance	N42001SL3_2460_2430	Headwater or Isolated Wetland	1	Acres
beebop	NONFED	MD	WetlandRehabilitate	N42001SL3_2460_2430	Headwater or Isolated Wetland	1	Acres
beebop	NONFED	MD	AbanMineRec	N42001SL3_2460_2430	Mixed Open	1	Acres
beebop	NONFED	MD	NonTideAftMon	N42001PU2_2790_3290	Stream Bed and Bank	1	Acres
beebop	NONFED	MD	NonTideAft	N42001PU2_2790_3290	Stream Bed and Bank	1	Acres
beebop	NONFED	MD	NonUrbStrmRest	N42001PU2_2790_3290	Stream Bed and Bank	1	Acres
beebop	NONFED	MD	NonUrbStrmRestPro	N42001PU2_2790_3290	Stream Bed and Bank	1	Acres
beebop	NONFED	MD	UrbStrmRest	N42001PU2_2790_3290	Stream Bed and Bank	1	Acres
beebop	NONFED	MD	UrbStrmRestPro	N42001PU2_2790_3290	Stream Bed and Bank	1	Acres
beebop	NONFED	MD	TideAft	N42001PU2_2790_3290	Shoreline	1	Acres
beebop	NONFED	MD	TideAftMon	N42001PU2_2790_3290	Shoreline	1	Acres
beebop	NONFED	MD	DiploidOysters2.25	N42001PU2_2790_3290	Shoreline	1	Acres
beebop	NONFED	MD	DiploidOysters3	N42001PU2_2790_3290	Shoreline	1	Acres
beebop	NONFED	MD	DiploidOysters4	N42001PU2_2790_3290	Shoreline	1	Acres
beebop	NONFED	MD	DiploidOysters5	N42001PU2_2790_3290	Shoreline	1	Acres
beebop	NONFED	MD	DiploidOysters6	N42001PU2_2790_3290	Shoreline	1	Acres
beebop	NONFED	MD	ShoreAgNoVeg	N42001PU2_2790_3290	Shoreline	1	Acres
beebop	NONFED	MD	ShoreAgVeg	N42001PU2_2790_3290	Shoreline	1	Acres
beebop	NONFED	MD	ShoreAg	N42001PU2_2790_3290	Shoreline	1	Acres
beebop	NONFED	MD	MonitoredOysters	N42001PU2_2790_3290	Shoreline	1	Acres
beebop	NONFED	MD	TriploidOysters2.25	N42001PU2_2790_3290	Shoreline	1	Acres
beebop	NONFED	MD	TriploidOysters3	N42001PU2_2790_3290	Shoreline	1	Acres
beebop	NONFED	MD	TriploidOysters4	N42001PU2_2790_3290	Shoreline	1	Acres
beebop	NONFED	MD	TriploidOysters5	N42001PU2_2790_3290	Shoreline	1	Acres
beebop	NONFED	MD	TriploidOysters6	N42001PU2_2790_3290	Shoreline	1	Acres
beebop	NONFED	MD	ShoreUrbNoVeg	N42001PU2_2790_3290	Shoreline	1	Acres
beebop	NONFED	MD	ShoreUrbVeg	N42001PU2_2790_3290	Shoreline	1	Acres
beebop	NONFED	MD	ShoreUrb	N42001PU2_2790_3290	Shoreline	1	Acres
beebop	NONFED	MD	NonTideAftMon	N42001SL3_2460_2430	Stream Bed and Bank	1	Acres
beebop	NONFED	MD	NonTideAft	N42001SL3_2460_2430	Stream Bed and Bank	1	Acres
beebop	NONFED	MD	NonUrbStrmRest	N42001SL3_2460_2430	Stream Bed and Bank	1	Acres
beebop	NONFED	MD	NonUrbStrmRestPro	N42001SL3_2460_2430	Stream Bed and Bank	1	Acres
beebop	NONFED	MD	UrbStrmRest	N42001SL3_2460_2430	Stream Bed and Bank	1	Acres
beebop	NONFED	MD	UrbStrmRestPro	N42001SL3_2460_2430	Stream Bed and Bank	1	Acres
beebop	NONFED	MD	TideAft	N42001SL3_2460_2430	Shoreline	1	Acres
beebop	NONFED	MD	TideAftMon	N42001SL3_2460_2430	Shoreline	1	Acres
beebop	NONFED	MD	DiploidOysters2.25	N42001SL3_2460_2430	Shoreline	1	Acres
beebop	NONFED	MD	DiploidOysters3	N42001SL3_2460_2430	Shoreline	1	Acres
beebop	NONFED	MD	DiploidOysters4	N42001SL3_2460_2430	Shoreline	1	Acres
beebop	NONFED	MD	DiploidOysters5	N42001SL3_2460_2430	Shoreline	1	Acres
beebop	NONFED	MD	DiploidOysters6	N42001SL3_2460_2430	Shoreline	1	Acres
beebop	NONFED	MD	ShoreAgNoVeg	N42001SL3_2460_2430	Shoreline	1	Acres
beebop	NONFED	MD	ShoreAgVeg	N42001SL3_2460_2430	Shoreline	1	Acres
beebop	NONFED	MD	ShoreAg	N42001SL3_2460_2430	Shoreline	1	Acres
beebop	NONFED	MD	MonitoredOysters	N42001SL3_2460_2430	Shoreline	1	Acres
beebop	NONFED	MD	TriploidOysters2.25	N42001SL3_2460_2430	Shoreline	1	Acres
beebop	NONFED	MD	TriploidOysters3	N42001SL3_2460_2430	Shoreline	1	Acres
beebop	NONFED	MD	TriploidOysters4	N42001SL3_2460_2430	Shoreline	1	Acres
beebop	NONFED	MD	TriploidOysters5	N42001SL3_2460_2430	Shoreline	1	Acres
beebop	NONFED	MD	TriploidOysters6	N42001SL3_2460_2430	Shoreline	1	Acres
beebop	NONFED	MD	ShoreUrbNoVeg	N42001SL3_2460_2430	Shoreline	1	Acres
beebop	NONFED	MD	ShoreUrbVeg	N42001SL3_2460_2430	Shoreline	1	Acres
beebop	NONFED	MD	ShoreUrb	N42001SL3_2460_2430	Shoreline	1	Acres
beebop	NONFED	MD	NonTideAftMon	N42001PU0_3000_3090	Stream Bed and Bank	1	Acres
beebop	NONFED	MD	NonTideAft	N42001PU0_3000_3090	Stream Bed and Bank	1	Acres
beebop	NONFED	MD	NonUrbStrmRest	N42001PU0_3000_3090	Stream Bed and Bank	1	Acres
beebop	NONFED	MD	NonUrbStrmRestPro	N42001PU0_3000_3090	Stream Bed and Bank	1	Acres
beebop	NONFED	MD	UrbStrmRest	N42001PU0_3000_3090	Stream Bed and Bank	1	Acres
beebop	NONFED	MD	UrbStrmRestPro	N42001PU0_3000_3090	Stream Bed and Bank	1	Acres
beebop	NONFED	MD	TideAft	N42001PU0_3000_3090	Shoreline	1	Acres
beebop	NONFED	MD	TideAftMon	N42001PU0_3000_3090	Shoreline	1	Acres
beebop	NONFED	MD	DiploidOysters2.25	N42001PU0_3000_3090	Shoreline	1	Acres
beebop	NONFED	MD	DiploidOysters3	N42001PU0_3000_3090	Shoreline	1	Acres
beebop	NONFED	MD	DiploidOysters4	N42001PU0_3000_3090	Shoreline	1	Acres
beebop	NONFED	MD	DiploidOysters5	N42001PU0_3000_3090	Shoreline	1	Acres
beebop	NONFED	MD	DiploidOysters6	N42001PU0_3000_3090	Shoreline	1	Acres
beebop	NONFED	MD	ShoreAgNoVeg	N42001PU0_3000_3090	Shoreline	1	Acres
beebop	NONFED	MD	ShoreAgVeg	N42001PU0_3000_3090	Shoreline	1	Acres
beebop	NONFED	MD	ShoreAg	N42001PU0_3000_3090	Shoreline	1	Acres
beebop	NONFED	MD	MonitoredOysters	N42001PU0_3000_3090	Shoreline	1	Acres
beebop	NONFED	MD	TriploidOysters2.25	N42001PU0_3000_3090	Shoreline	1	Acres
beebop	NONFED	MD	TriploidOysters3	N42001PU0_3000_3090	Shoreline	1	Acres
beebop	NONFED	MD	TriploidOysters4	N42001PU0_3000_3090	Shoreline	1	Acres
beebop	NONFED	MD	TriploidOysters5	N42001PU0_3000_3090	Shoreline	1	Acres
beebop	NONFED	MD	TriploidOysters6	N42001PU0_3000_3090	Shoreline	1	Acres
beebop	NONFED	MD	ShoreUrbNoVeg	N42001PU0_3000_3090	Shoreline	1	Acres
beebop	NONFED	MD	ShoreUrbVeg	N42001PU0_3000_3090	Shoreline	1	Acres
beebop	NONFED	MD	ShoreUrb	N42001PU0_3000_3090	Shoreline	1	Acres
beebop	DOD	MD	NonTideAftMon	N42001PM3_3040_3340	Stream Bed and Bank	1	Acres
beebop	DOD	MD	NonTideAft	N42001PM3_3040_3340	Stream Bed and Bank	1	Acres
beebop	DOD	MD	NonUrbStrmRest	N42001PM3_3040_3340	Stream Bed and Bank	1	Acres
beebop	DOD	MD	NonUrbStrmRestPro	N42001PM3_3040_3340	Stream Bed and Bank	1	Acres
beebop	DOD	MD	UrbStrmRest	N42001PM3_3040_3340	Stream Bed and Bank	1	Acres
beebop	DOD	MD	UrbStrmRestPro	N42001PM3_3040_3340	Stream Bed and Bank	1	Acres
beebop	DOD	MD	TideAft	N42001PM3_3040_3340	Shoreline	1	Acres
beebop	DOD	MD	TideAftMon	N42001PM3_3040_3340	Shoreline	1	Acres
beebop	DOD	MD	DiploidOysters2.25	N42001PM3_3040_3340	Shoreline	1	Acres
beebop	DOD	MD	DiploidOysters3	N42001PM3_3040_3340	Shoreline	1	Acres
beebop	DOD	MD	DiploidOysters4	N42001PM3_3040_3340	Shoreline	1	Acres
beebop	DOD	MD	DiploidOysters5	N42001PM3_3040_3340	Shoreline	1	Acres
beebop	DOD	MD	DiploidOysters6	N42001PM3_3040_3340	Shoreline	1	Acres
beebop	DOD	MD	ShoreAgNoVeg	N42001PM3_3040_3340	Shoreline	1	Acres
beebop	DOD	MD	ShoreAgVeg	N42001PM3_3040_3340	Shoreline	1	Acres
beebop	DOD	MD	ShoreAg	N42001PM3_3040_3340	Shoreline	1	Acres
beebop	DOD	MD	MonitoredOysters	N42001PM3_3040_3340	Shoreline	1	Acres
beebop	DOD	MD	TriploidOysters2.25	N42001PM3_3040_3340	Shoreline	1	Acres
beebop	DOD	MD	TriploidOysters3	N42001PM3_3040_3340	Shoreline	1	Acres
beebop	DOD	MD	TriploidOysters4	N42001PM3_3040_3340	Shoreline	1	Acres
beebop	DOD	MD	TriploidOysters5	N42001PM3_3040_3340	Shoreline	1	Acres
beebop	DOD	MD	TriploidOysters6	N42001PM3_3040_3340	Shoreline	1	Acres
beebop	DOD	MD	ShoreUrbNoVeg	N42001PM3_3040_3340	Shoreline	1	Acres
beebop	DOD	MD	ShoreUrbVeg	N42001PM3_3040_3340	Shoreline	1	Acres
beebop	DOD	MD	ShoreUrb	N42001PM3_3040_3340	Shoreline	1	Acres
beebop	NONFED	MD	NonTideAftMon	N42001PM3_3040_3340	Stream Bed and Bank	1	Acres
beebop	NONFED	MD	NonTideAft	N42001PM3_3040_3340	Stream Bed and Bank	1	Acres
beebop	NONFED	MD	NonUrbStrmRest	N42001PM3_3040_3340	Stream Bed and Bank	1	Acres
beebop	NONFED	MD	NonUrbStrmRestPro	N42001PM3_3040_3340	Stream Bed and Bank	1	Acres
beebop	NONFED	MD	UrbStrmRest	N42001PM3_3040_3340	Stream Bed and Bank	1	Acres
beebop	NONFED	MD	UrbStrmRestPro	N42001PM3_3040_3340	Stream Bed and Bank	1	Acres
beebop	NONFED	MD	TideAft	N42001PM3_3040_3340	Shoreline	1	Acres
beebop	NONFED	MD	TideAftMon	N42001PM3_3040_3340	Shoreline	1	Acres
beebop	NONFED	MD	DiploidOysters2.25	N42001PM3_3040_3340	Shoreline	1	Acres
beebop	NONFED	MD	DiploidOysters3	N42001PM3_3040_3340	Shoreline	1	Acres
beebop	NONFED	MD	DiploidOysters4	N42001PM3_3040_3340	Shoreline	1	Acres
beebop	NONFED	MD	DiploidOysters5	N42001PM3_3040_3340	Shoreline	1	Acres
beebop	NONFED	MD	DiploidOysters6	N42001PM3_3040_3340	Shoreline	1	Acres
beebop	NONFED	MD	ShoreAgNoVeg	N42001PM3_3040_3340	Shoreline	1	Acres
beebop	NONFED	MD	ShoreAgVeg	N42001PM3_3040_3340	Shoreline	1	Acres
beebop	NONFED	MD	ShoreAg	N42001PM3_3040_3340	Shoreline	1	Acres
beebop	NONFED	MD	MonitoredOysters	N42001PM3_3040_3340	Shoreline	1	Acres
beebop	NONFED	MD	TriploidOysters2.25	N42001PM3_3040_3340	Shoreline	1	Acres
beebop	NONFED	MD	TriploidOysters3	N42001PM3_3040_3340	Shoreline	1	Acres
beebop	NONFED	MD	TriploidOysters4	N42001PM3_3040_3340	Shoreline	1	Acres
beebop	NONFED	MD	TriploidOysters5	N42001PM3_3040_3340	Shoreline	1	Acres
beebop	NONFED	MD	TriploidOysters6	N42001PM3_3040_3340	Shoreline	1	Acres
beebop	NONFED	MD	ShoreUrbNoVeg	N42001PM3_3040_3340	Shoreline	1	Acres
beebop	NONFED	MD	ShoreUrbVeg	N42001PM3_3040_3340	Shoreline	1	Acres
beebop	NONFED	MD	ShoreUrb	N42001PM3_3040_3340	Shoreline	1	Acres
beebop	NONFED	MD	CSOConnect	N42001PU0_3000_3090	CSS Mixed Open	1	Acres
beebop	NONFED	MD	CSOConnect	N42001PU0_3000_3090	CSS Forest	1	Acres
beebop	NONFED	MD	ForHarvestBMP	N42001PU0_3000_3090	Harvested Forest	1	Acres
beebop	NONFED	MD	WetlandEnhance	N42001PU0_3000_3090	Non-tidal Floodplain Wetland	1	Acres
beebop	NONFED	MD	WetlandRehabilitate	N42001PU0_3000_3090	Non-tidal Floodplain Wetland	1	Acres
beebop	NONFED	MD	WetlandEnhance	N42001PU0_3000_3090	Headwater or Isolated Wetland	1	Acres
beebop	NONFED	MD	WetlandRehabilitate	N42001PU0_3000_3090	Headwater or Isolated Wetland	1	Acres
beebop	NONFED	MD	AbanMineRec	N42001PU0_3000_3090	Mixed Open	1	Acres
beebop	DOD	MD	CSOConnect	N42001PM3_3040_3340	CSS Mixed Open	1	Acres
beebop	DOD	MD	CSOConnect	N42001PM3_3040_3340	CSS Forest	1	Acres
beebop	DOD	MD	ForHarvestBMP	N42001PM3_3040_3340	Harvested Forest	1	Acres
beebop	DOD	MD	WetlandEnhance	N42001PM3_3040_3340	Non-tidal Floodplain Wetland	1	Acres
beebop	DOD	MD	WetlandRehabilitate	N42001PM3_3040_3340	Non-tidal Floodplain Wetland	1	Acres
beebop	DOD	MD	WetlandEnhance	N42001PM3_3040_3340	Headwater or Isolated Wetland	1	Acres
beebop	DOD	MD	WetlandRehabilitate	N42001PM3_3040_3340	Headwater or Isolated Wetland	1	Acres
beebop	DOD	MD	AbanMineRec	N42001PM3_3040_3340	Mixed Open	1	Acres
beebop	NONFED	MD	CSOConnect	N42001PM3_3040_3340	CSS Mixed Open	1	Acres
beebop	NONFED	MD	CSOConnect	N42001PM3_3040_3340	CSS Forest	1	Acres
beebop	NONFED	MD	ForHarvestBMP	N42001PM3_3040_3340	Harvested Forest	1	Acres
beebop	NONFED	MD	WetlandEnhance	N42001PM3_3040_3340	Non-tidal Floodplain Wetland	1	Acres
beebop	NONFED	MD	WetlandRehabilitate	N42001PM3_3040_3340	Non-tidal Floodplain Wetland	1	Acres
beebop	NONFED	MD	WetlandEnhance	N42001PM3_3040_3340	Headwater or Isolated Wetland	1	Acres
beebop	NONFED	MD	WetlandRehabilitate	N42001PM3_3040_3340	Headwater or Isolated Wetland	1	Acres
beebop	NONFED	MD	AbanMineRec	N42001PM3_3040_3340	Mixed Open	1	Acres
beebop	NONFED	MD	NonTideAftMon	N42001SL3_2400_2440	Stream Bed and Bank	1	Acres
beebop	NONFED	MD	NonTideAft	N42001SL3_2400_2440	Stream Bed and Bank	1	Acres
beebop	NONFED	MD	NonUrbStrmRest	N42001SL3_2400_2440	Stream Bed and Bank	1	Acres
beebop	NONFED	MD	NonUrbStrmRestPro	N42001SL3_2400_2440	Stream Bed and Bank	1	Acres
beebop	NONFED	MD	UrbStrmRest	N42001SL3_2400_2440	Stream Bed and Bank	1	Acres
beebop	NONFED	MD	UrbStrmRestPro	N42001SL3_2400_2440	Stream Bed and Bank	1	Acres
beebop	NONFED	MD	TideAft	N42001SL3_2400_2440	Shoreline	1	Acres
beebop	NONFED	MD	TideAftMon	N42001SL3_2400_2440	Shoreline	1	Acres
beebop	NONFED	MD	DiploidOysters2.25	N42001SL3_2400_2440	Shoreline	1	Acres
beebop	NONFED	MD	DiploidOysters3	N42001SL3_2400_2440	Shoreline	1	Acres
beebop	NONFED	MD	DiploidOysters4	N42001SL3_2400_2440	Shoreline	1	Acres
beebop	NONFED	MD	DiploidOysters5	N42001SL3_2400_2440	Shoreline	1	Acres
beebop	NONFED	MD	DiploidOysters6	N42001SL3_2400_2440	Shoreline	1	Acres
beebop	NONFED	MD	ShoreAgNoVeg	N42001SL3_2400_2440	Shoreline	1	Acres
beebop	NONFED	MD	ShoreAgVeg	N42001SL3_2400_2440	Shoreline	1	Acres
beebop	NONFED	MD	ShoreAg	N42001SL3_2400_2440	Shoreline	1	Acres
beebop	NONFED	MD	MonitoredOysters	N42001SL3_2400_2440	Shoreline	1	Acres
beebop	NONFED	MD	TriploidOysters2.25	N42001SL3_2400_2440	Shoreline	1	Acres
beebop	NONFED	MD	TriploidOysters3	N42001SL3_2400_2440	Shoreline	1	Acres
beebop	NONFED	MD	TriploidOysters4	N42001SL3_2400_2440	Shoreline	1	Acres
beebop	NONFED	MD	TriploidOysters5	N42001SL3_2400_2440	Shoreline	1	Acres
beebop	NONFED	MD	TriploidOysters6	N42001SL3_2400_2440	Shoreline	1	Acres
beebop	NONFED	MD	ShoreUrbNoVeg	N42001SL3_2400_2440	Shoreline	1	Acres
beebop	NONFED	MD	ShoreUrbVeg	N42001SL3_2400_2440	Shoreline	1	Acres
beebop	NONFED	MD	ShoreUrb	N42001SL3_2400_2440	Shoreline	1	Acres
beebop	NONFED	MD	CSOConnect	N42001SL3_2400_2440	CSS Mixed Open	1	Acres
beebop	NONFED	MD	CSOConnect	N42001SL3_2400_2440	CSS Forest	1	Acres
beebop	NONFED	MD	ForHarvestBMP	N42001SL3_2400_2440	Harvested Forest	1	Acres
beebop	NONFED	MD	WetlandEnhance	N42001SL3_2400_2440	Non-tidal Floodplain Wetland	1	Acres
