StateUniqueIdentifier	AgencyCode	StateAbbreviation	BmpShortname	GeographyName	AnimalGroup	LoadSourceGroup	Amount	Unit	NReductionFraction	PReductionFraction
beebop	NONFED	PA	AgStormEff	42001	beef	Non-Permitted Feeding Space	2080.3763638425344	Animal Count		
beebop	NONFED	PA	AgStormEff	42001	beef	Non-Permitted Feeding Space	2080.3763638425344	Animal Count		
beebop	NONFED	PA	AgStormEff	42001	beef	Non-Permitted Feeding Space	2080.3763638425344	Animal Count		
beebop	NONFED	PA	AgStormEff	42001	beef	Non-Permitted Feeding Space	2080.3763638425344	Animal Count		
beebop	NONFED	PA	AgStormEff	42001	beef	Non-Permitted Feeding Space	2080.3763638425344	Animal Count		
beebop	NONFED	PA	AgStormEff	42001	beef	Non-Permitted Feeding Space	2080.3763638425344	Animal Count		
beebop	NONFED	PA	BarnRunoffCont	42001	beef	Non-Permitted Feeding Space	2114.878419980163	Animal Count		
beebop	NONFED	PA	BarnRunoffCont	42001	beef	Non-Permitted Feeding Space	2114.878419980163	Animal Count		
beebop	NONFED	PA	BarnRunoffCont	42001	beef	Non-Permitted Feeding Space	2114.878419980163	Animal Count		
beebop	NONFED	PA	BarnRunoffCont	42001	beef	Non-Permitted Feeding Space	2114.878419980163	Animal Count		
beebop	NONFED	PA	BarnRunoffCont	42001	beef	Non-Permitted Feeding Space	2114.878419980163	Animal Count		
beebop	NONFED	PA	BarnRunoffCont	42001	beef	Non-Permitted Feeding Space	2114.878419980163	Animal Count		
beebop	NONFED	PA	LoafLot	42001	beef	Non-Permitted Feeding Space	1637.42326661801	Animal Count		
beebop	NONFED	PA	LoafLot	42001	beef	Non-Permitted Feeding Space	1637.42326661801	Animal Count		
beebop	NONFED	PA	LoafLot	42001	beef	Non-Permitted Feeding Space	1637.42326661801	Animal Count		
beebop	NONFED	PA	LoafLot	42001	beef	Non-Permitted Feeding Space	1637.42326661801	Animal Count		
beebop	NONFED	PA	LoafLot	42001	beef	Non-Permitted Feeding Space	1637.42326661801	Animal Count		
beebop	NONFED	PA	LoafLot	42001	beef	Non-Permitted Feeding Space	1637.42326661801	Animal Count		
beebop	NONFED	PA	AgStormEff	42001	beef	Permitted Feeding Space	127.43276025847074	Animal Count		
beebop	NONFED	PA	AgStormEff	42001	beef	Permitted Feeding Space	127.43276025847074	Animal Count		
beebop	NONFED	PA	AgStormEff	42001	beef	Permitted Feeding Space	127.43276025847074	Animal Count		
beebop	NONFED	PA	AgStormEff	42001	beef	Permitted Feeding Space	127.43276025847074	Animal Count		
beebop	NONFED	PA	AgStormEff	42001	beef	Permitted Feeding Space	127.43276025847074	Animal Count		
beebop	NONFED	PA	AgStormEff	42001	beef	Permitted Feeding Space	127.43276025847074	Animal Count		
beebop	NONFED	PA	BarnRunoffCont	42001	beef	Permitted Feeding Space	86.81226382842206	Animal Count		
beebop	NONFED	PA	BarnRunoffCont	42001	beef	Permitted Feeding Space	86.81226382842206	Animal Count		
beebop	NONFED	PA	BarnRunoffCont	42001	beef	Permitted Feeding Space	86.81226382842206	Animal Count		
beebop	NONFED	PA	BarnRunoffCont	42001	beef	Permitted Feeding Space	86.81226382842206	Animal Count		
beebop	NONFED	PA	BarnRunoffCont	42001	beef	Permitted Feeding Space	86.81226382842206	Animal Count		
beebop	NONFED	PA	BarnRunoffCont	42001	beef	Permitted Feeding Space	86.81226382842206	Animal Count		
beebop	NONFED	PA	LoafLot	42001	beef	Permitted Feeding Space	205.05062709862915	Animal Count		
beebop	NONFED	PA	LoafLot	42001	beef	Permitted Feeding Space	205.05062709862915	Animal Count		
beebop	NONFED	PA	LoafLot	42001	beef	Permitted Feeding Space	205.05062709862915	Animal Count		
beebop	NONFED	PA	LoafLot	42001	beef	Permitted Feeding Space	205.05062709862915	Animal Count		
beebop	NONFED	PA	LoafLot	42001	beef	Permitted Feeding Space	205.05062709862915	Animal Count		
beebop	NONFED	PA	LoafLot	42001	beef	Permitted Feeding Space	205.05062709862915	Animal Count		
beebop	NONFED	PA	AgStormEff	42001	broilers	Permitted Feeding Space	1311.360484277986	Animal Count		
beebop	NONFED	PA	AgStormEff	42001	broilers	Permitted Feeding Space	1311.360484277986	Animal Count		
beebop	NONFED	PA	AgStormEff	42001	broilers	Permitted Feeding Space	1311.360484277986	Animal Count		
beebop	NONFED	PA	AgStormEff	42001	broilers	Permitted Feeding Space	1311.360484277986	Animal Count		
beebop	NONFED	PA	AgStormEff	42001	broilers	Permitted Feeding Space	1311.360484277986	Animal Count		
beebop	NONFED	PA	AgStormEff	42001	broilers	Permitted Feeding Space	1311.360484277986	Animal Count		
beebop	NONFED	PA	BarnRunoffCont	42001	broilers	Permitted Feeding Space	1638.062774774408	Animal Count		
beebop	NONFED	PA	BarnRunoffCont	42001	broilers	Permitted Feeding Space	1638.062774774408	Animal Count		
beebop	NONFED	PA	BarnRunoffCont	42001	broilers	Permitted Feeding Space	1638.062774774408	Animal Count		
beebop	NONFED	PA	BarnRunoffCont	42001	broilers	Permitted Feeding Space	1638.062774774408	Animal Count		
beebop	NONFED	PA	BarnRunoffCont	42001	broilers	Permitted Feeding Space	1638.062774774408	Animal Count		
beebop	NONFED	PA	BarnRunoffCont	42001	broilers	Permitted Feeding Space	1638.062774774408	Animal Count		
beebop	NONFED	PA	LoafLot	42001	broilers	Permitted Feeding Space	1577.811660004807	Animal Count		
beebop	NONFED	PA	LoafLot	42001	broilers	Permitted Feeding Space	1577.811660004807	Animal Count		
beebop	NONFED	PA	LoafLot	42001	broilers	Permitted Feeding Space	1577.811660004807	Animal Count		
beebop	NONFED	PA	LoafLot	42001	broilers	Permitted Feeding Space	1577.811660004807	Animal Count		
beebop	NONFED	PA	LoafLot	42001	broilers	Permitted Feeding Space	1577.811660004807	Animal Count		
beebop	NONFED	PA	LoafLot	42001	broilers	Permitted Feeding Space	1577.811660004807	Animal Count		
beebop	NONFED	PA	AgStormEff	42001	dairy	Non-Permitted Feeding Space	2553.2676590425303	Animal Count		
beebop	NONFED	PA	AgStormEff	42001	dairy	Non-Permitted Feeding Space	2553.2676590425303	Animal Count		
beebop	NONFED	PA	AgStormEff	42001	dairy	Non-Permitted Feeding Space	2553.2676590425303	Animal Count		
beebop	NONFED	PA	AgStormEff	42001	dairy	Non-Permitted Feeding Space	2553.2676590425303	Animal Count		
beebop	NONFED	PA	AgStormEff	42001	dairy	Non-Permitted Feeding Space	2553.2676590425303	Animal Count		
beebop	NONFED	PA	AgStormEff	42001	dairy	Non-Permitted Feeding Space	2553.2676590425303	Animal Count		
beebop	NONFED	PA	BarnRunoffCont	42001	dairy	Non-Permitted Feeding Space	3773.9358590370784	Animal Count		
beebop	NONFED	PA	BarnRunoffCont	42001	dairy	Non-Permitted Feeding Space	3773.9358590370784	Animal Count		
beebop	NONFED	PA	BarnRunoffCont	42001	dairy	Non-Permitted Feeding Space	3773.9358590370784	Animal Count		
beebop	NONFED	PA	BarnRunoffCont	42001	dairy	Non-Permitted Feeding Space	3773.9358590370784	Animal Count		
beebop	NONFED	PA	BarnRunoffCont	42001	dairy	Non-Permitted Feeding Space	3773.9358590370784	Animal Count		
beebop	NONFED	PA	BarnRunoffCont	42001	dairy	Non-Permitted Feeding Space	3773.9358590370784	Animal Count		
beebop	NONFED	PA	LoafLot	42001	dairy	Non-Permitted Feeding Space	1679.9793836481892	Animal Count		
