StateUniqueIdentifier	AgencyCode	StateAbbreviation	BmpShortname	FIPSFrom	FIPSTo	AnimalGroup	LoadSourceGroup	Amount	Unit
beebop	NONFED	PA	AgStormEff	42001	42001	beef	Non-Permitted Feeding Space	351.9779032925531	WET TONS
beebop	NONFED	PA	AgStormEff	42001	42001	beef	Non-Permitted Feeding Space	351.9779032925531	WET TONS
beebop	NONFED	PA	AgStormEff	42001	42001	beef	Non-Permitted Feeding Space	351.9779032925531	WET TONS
beebop	NONFED	PA	AgStormEff	42001	42001	beef	Non-Permitted Feeding Space	351.9779032925531	WET TONS
beebop	NONFED	PA	AgStormEff	42001	42001	beef	Non-Permitted Feeding Space	351.9779032925531	WET TONS
beebop	NONFED	PA	AgStormEff	42001	42001	beef	Non-Permitted Feeding Space	351.9779032925531	WET TONS
beebop	NONFED	PA	BarnRunoffCont	42001	42001	beef	Non-Permitted Feeding Space	491.1647148730256	WET TONS
beebop	NONFED	PA	BarnRunoffCont	42001	42001	beef	Non-Permitted Feeding Space	491.1647148730256	WET TONS
beebop	NONFED	PA	BarnRunoffCont	42001	42001	beef	Non-Permitted Feeding Space	491.1647148730256	WET TONS
beebop	NONFED	PA	BarnRunoffCont	42001	42001	beef	Non-Permitted Feeding Space	491.1647148730256	WET TONS
beebop	NONFED	PA	BarnRunoffCont	42001	42001	beef	Non-Permitted Feeding Space	491.1647148730256	WET TONS
beebop	NONFED	PA	BarnRunoffCont	42001	42001	beef	Non-Permitted Feeding Space	491.1647148730256	WET TONS
beebop	NONFED	PA	LoafLot	42001	42001	beef	Non-Permitted Feeding Space	680.2269787465201	WET TONS
beebop	NONFED	PA	LoafLot	42001	42001	beef	Non-Permitted Feeding Space	680.2269787465201	WET TONS
beebop	NONFED	PA	LoafLot	42001	42001	beef	Non-Permitted Feeding Space	680.2269787465201	WET TONS
beebop	NONFED	PA	LoafLot	42001	42001	beef	Non-Permitted Feeding Space	680.2269787465201	WET TONS
beebop	NONFED	PA	LoafLot	42001	42001	beef	Non-Permitted Feeding Space	680.2269787465201	WET TONS
beebop	NONFED	PA	LoafLot	42001	42001	beef	Non-Permitted Feeding Space	680.2269787465201	WET TONS
beebop	NONFED	PA	AgStormEff	42001	42001	beef	Permitted Feeding Space	2.3228293731372824	WET TONS
beebop	NONFED	PA	AgStormEff	42001	42001	beef	Permitted Feeding Space	2.3228293731372824	WET TONS
beebop	NONFED	PA	AgStormEff	42001	42001	beef	Permitted Feeding Space	2.3228293731372824	WET TONS
beebop	NONFED	PA	AgStormEff	42001	42001	beef	Permitted Feeding Space	2.3228293731372824	WET TONS
beebop	NONFED	PA	AgStormEff	42001	42001	beef	Permitted Feeding Space	2.3228293731372824	WET TONS
beebop	NONFED	PA	AgStormEff	42001	42001	beef	Permitted Feeding Space	2.3228293731372824	WET TONS
beebop	NONFED	PA	BarnRunoffCont	42001	42001	beef	Permitted Feeding Space	21.832572011010324	WET TONS
beebop	NONFED	PA	BarnRunoffCont	42001	42001	beef	Permitted Feeding Space	21.832572011010324	WET TONS
beebop	NONFED	PA	BarnRunoffCont	42001	42001	beef	Permitted Feeding Space	21.832572011010324	WET TONS
beebop	NONFED	PA	BarnRunoffCont	42001	42001	beef	Permitted Feeding Space	21.832572011010324	WET TONS
beebop	NONFED	PA	BarnRunoffCont	42001	42001	beef	Permitted Feeding Space	21.832572011010324	WET TONS
beebop	NONFED	PA	BarnRunoffCont	42001	42001	beef	Permitted Feeding Space	21.832572011010324	WET TONS
beebop	NONFED	PA	LoafLot	42001	42001	beef	Permitted Feeding Space	18.91097030548328	WET TONS
beebop	NONFED	PA	LoafLot	42001	42001	beef	Permitted Feeding Space	18.91097030548328	WET TONS
beebop	NONFED	PA	LoafLot	42001	42001	beef	Permitted Feeding Space	18.91097030548328	WET TONS
beebop	NONFED	PA	LoafLot	42001	42001	beef	Permitted Feeding Space	18.91097030548328	WET TONS
beebop	NONFED	PA	LoafLot	42001	42001	beef	Permitted Feeding Space	18.91097030548328	WET TONS
beebop	NONFED	PA	LoafLot	42001	42001	beef	Permitted Feeding Space	18.91097030548328	WET TONS
beebop	NONFED	PA	AgStormEff	42001	42001	broilers	Permitted Feeding Space	140.20555634628244	WET TONS
beebop	NONFED	PA	AgStormEff	42001	42001	broilers	Permitted Feeding Space	140.20555634628244	WET TONS
beebop	NONFED	PA	AgStormEff	42001	42001	broilers	Permitted Feeding Space	140.20555634628244	WET TONS
beebop	NONFED	PA	AgStormEff	42001	42001	broilers	Permitted Feeding Space	140.20555634628244	WET TONS
beebop	NONFED	PA	AgStormEff	42001	42001	broilers	Permitted Feeding Space	140.20555634628244	WET TONS
beebop	NONFED	PA	AgStormEff	42001	42001	broilers	Permitted Feeding Space	140.20555634628244	WET TONS
beebop	NONFED	PA	BarnRunoffCont	42001	42001	broilers	Permitted Feeding Space	248.5742722541664	WET TONS
beebop	NONFED	PA	BarnRunoffCont	42001	42001	broilers	Permitted Feeding Space	248.5742722541664	WET TONS
beebop	NONFED	PA	BarnRunoffCont	42001	42001	broilers	Permitted Feeding Space	248.5742722541664	WET TONS
beebop	NONFED	PA	BarnRunoffCont	42001	42001	broilers	Permitted Feeding Space	248.5742722541664	WET TONS
beebop	NONFED	PA	BarnRunoffCont	42001	42001	broilers	Permitted Feeding Space	248.5742722541664	WET TONS
beebop	NONFED	PA	BarnRunoffCont	42001	42001	broilers	Permitted Feeding Space	248.5742722541664	WET TONS
beebop	NONFED	PA	LoafLot	42001	42001	broilers	Permitted Feeding Space	145.35514716887243	WET TONS
beebop	NONFED	PA	LoafLot	42001	42001	broilers	Permitted Feeding Space	145.35514716887243	WET TONS
beebop	NONFED	PA	LoafLot	42001	42001	broilers	Permitted Feeding Space	145.35514716887243	WET TONS
beebop	NONFED	PA	LoafLot	42001	42001	broilers	Permitted Feeding Space	145.35514716887243	WET TONS
beebop	NONFED	PA	LoafLot	42001	42001	broilers	Permitted Feeding Space	145.35514716887243	WET TONS
beebop	NONFED	PA	LoafLot	42001	42001	broilers	Permitted Feeding Space	145.35514716887243	WET TONS
beebop	NONFED	PA	AgStormEff	42001	42001	dairy	Non-Permitted Feeding Space	3566.1231151624243	WET TONS
beebop	NONFED	PA	AgStormEff	42001	42001	dairy	Non-Permitted Feeding Space	3566.1231151624243	WET TONS
beebop	NONFED	PA	AgStormEff	42001	42001	dairy	Non-Permitted Feeding Space	3566.1231151624243	WET TONS
beebop	NONFED	PA	AgStormEff	42001	42001	dairy	Non-Permitted Feeding Space	3566.1231151624243	WET TONS
beebop	NONFED	PA	AgStormEff	42001	42001	dairy	Non-Permitted Feeding Space	3566.1231151624243	WET TONS
beebop	NONFED	PA	AgStormEff	42001	42001	dairy	Non-Permitted Feeding Space	3566.1231151624243	WET TONS
beebop	NONFED	PA	BarnRunoffCont	42001	42001	dairy	Non-Permitted Feeding Space	3635.887439270237	WET TONS
beebop	NONFED	PA	BarnRunoffCont	42001	42001	dairy	Non-Permitted Feeding Space	3635.887439270237	WET TONS
beebop	NONFED	PA	BarnRunoffCont	42001	42001	dairy	Non-Permitted Feeding Space	3635.887439270237	WET TONS
beebop	NONFED	PA	BarnRunoffCont	42001	42001	dairy	Non-Permitted Feeding Space	3635.887439270237	WET TONS
beebop	NONFED	PA	BarnRunoffCont	42001	42001	dairy	Non-Permitted Feeding Space	3635.887439270237	WET TONS
beebop	NONFED	PA	BarnRunoffCont	42001	42001	dairy	Non-Permitted Feeding Space	3635.887439270237	WET TONS
beebop	NONFED	PA	LoafLot	42001	42001	dairy	Non-Permitted Feeding Space	3660.58837473608	WET TONS
beebop	NONFED	PA	LoafLot	42001	42001	dairy	Non-Permitted Feeding Space	3660.58837473608	WET TONS
beebop	NONFED	PA	LoafLot	42001	42001	dairy	Non-Permitted Feeding Space	3660.58837473608	WET TONS
beebop	NONFED	PA	LoafLot	42001	42001	dairy	Non-Permitted Feeding Space	3660.58837473608	WET TONS
beebop	NONFED	PA	LoafLot	42001	42001	dairy	Non-Permitted Feeding Space	3660.58837473608	WET TONS
beebop	NONFED	PA	LoafLot	42001	42001	dairy	Non-Permitted Feeding Space	3660.58837473608	WET TONS
beebop	NONFED	PA	AgStormEff	42001	42001	dairy	Permitted Feeding Space	4700.812038906185	WET TONS
beebop	NONFED	PA	AgStormEff	42001	42001	dairy	Permitted Feeding Space	4700.812038906185	WET TONS
beebop	NONFED	PA	AgStormEff	42001	42001	dairy	Permitted Feeding Space	4700.812038906185	WET TONS
beebop	NONFED	PA	AgStormEff	42001	42001	dairy	Permitted Feeding Space	4700.812038906185	WET TONS
beebop	NONFED	PA	AgStormEff	42001	42001	dairy	Permitted Feeding Space	4700.812038906185	WET TONS
beebop	NONFED	PA	AgStormEff	42001	42001	dairy	Permitted Feeding Space	4700.812038906185	WET TONS
beebop	NONFED	PA	BarnRunoffCont	42001	42001	dairy	Permitted Feeding Space	5475.697011025544	WET TONS
beebop	NONFED	PA	BarnRunoffCont	42001	42001	dairy	Permitted Feeding Space	5475.697011025544	WET TONS
beebop	NONFED	PA	BarnRunoffCont	42001	42001	dairy	Permitted Feeding Space	5475.697011025544	WET TONS
