StateUniqueIdentifier	AgencyCode	StateAbbreviation	BmpShortname	GeographyName	LoadSourceGroup	Amount	Unit
beebop	DOD	PA	NonTideAftMon	N42001PM3_3040_3340	Stream Bed and Bank	0.26032332745519754	Acres
beebop	DOD	PA	NonTideAft	N42001PM3_3040_3340	Stream Bed and Bank	0.07669604722348422	Acres
beebop	DOD	PA	NonUrbStrmRest	N42001PM3_3040_3340	Stream Bed and Bank	0.17499651402816402	Acres
beebop	DOD	PA	NonUrbStrmRestPro	N42001PM3_3040_3340	Stream Bed and Bank	0.11083759320470739	Acres
beebop	DOD	PA	UrbStrmRest	N42001PM3_3040_3340	Stream Bed and Bank	0.26293453498287633	Acres
beebop	DOD	PA	UrbStrmRestPro	N42001PM3_3040_3340	Stream Bed and Bank	0.417945519696384	Acres
beebop	DOD	PA	TideAft	N42001PM3_3040_3340	Shoreline	0.0	Acres
beebop	DOD	PA	TideAftMon	N42001PM3_3040_3340	Shoreline	0.0	Acres
beebop	DOD	PA	DiploidOysters2.25	N42001PM3_3040_3340	Shoreline	0.0	Acres
beebop	DOD	PA	DiploidOysters3	N42001PM3_3040_3340	Shoreline	0.0	Acres
beebop	DOD	PA	DiploidOysters4	N42001PM3_3040_3340	Shoreline	0.0	Acres
beebop	DOD	PA	DiploidOysters5	N42001PM3_3040_3340	Shoreline	0.0	Acres
beebop	DOD	PA	DiploidOysters6	N42001PM3_3040_3340	Shoreline	0.0	Acres
beebop	DOD	PA	ShoreAgNoVeg	N42001PM3_3040_3340	Shoreline	0.0	Acres
beebop	DOD	PA	ShoreAgVeg	N42001PM3_3040_3340	Shoreline	0.0	Acres
beebop	DOD	PA	ShoreAg	N42001PM3_3040_3340	Shoreline	0.0	Acres
beebop	DOD	PA	MonitoredOysters	N42001PM3_3040_3340	Shoreline	0.0	Acres
beebop	DOD	PA	TriploidOysters2.25	N42001PM3_3040_3340	Shoreline	0.0	Acres
beebop	DOD	PA	TriploidOysters3	N42001PM3_3040_3340	Shoreline	0.0	Acres
beebop	DOD	PA	TriploidOysters4	N42001PM3_3040_3340	Shoreline	0.0	Acres
beebop	DOD	PA	TriploidOysters5	N42001PM3_3040_3340	Shoreline	0.0	Acres
beebop	DOD	PA	TriploidOysters6	N42001PM3_3040_3340	Shoreline	0.0	Acres
beebop	DOD	PA	ShoreUrbNoVeg	N42001PM3_3040_3340	Shoreline	0.0	Acres
beebop	DOD	PA	ShoreUrbVeg	N42001PM3_3040_3340	Shoreline	0.0	Acres
beebop	DOD	PA	ShoreUrb	N42001PM3_3040_3340	Shoreline	0.0	Acres
beebop	DOD	PA	CSOConnect	N42001PM3_3040_3340	CSS Mixed Open	0.0	Acres
beebop	DOD	PA	CSOConnect	N42001PM3_3040_3340	CSS Forest	0.0	Acres
beebop	DOD	PA	ForHarvestBMP	N42001PM3_3040_3340	Harvested Forest	0.0	Acres
beebop	DOD	PA	WetlandEnhance	N42001PM3_3040_3340	Non-tidal Floodplain Wetland	0.942639993240961	Acres
beebop	DOD	PA	WetlandRehabilitate	N42001PM3_3040_3340	Non-tidal Floodplain Wetland	0.883568196357371	Acres
beebop	DOD	PA	WetlandEnhance	N42001PM3_3040_3340	Headwater or Isolated Wetland	0.0	Acres
beebop	DOD	PA	WetlandRehabilitate	N42001PM3_3040_3340	Headwater or Isolated Wetland	0.0	Acres
beebop	DOD	PA	AbanMineRec	N42001PM3_3040_3340	Mixed Open	35.84226920872164	Acres
beebop	DOD	PA	SCP6	N42001PM3_3040_3340	Non-Regulated Roads	10.946065980811465	Acres
beebop	DOD	PA	SCP3	N42001PM3_3040_3340	Non-Regulated Roads	10.05548360947416	Acres
beebop	DOD	PA	SCP4	N42001PM3_3040_3340	Non-Regulated Roads	2.5214878038871738	Acres
beebop	DOD	PA	SCP5	N42001PM3_3040_3340	Non-Regulated Roads	5.551370274653422	Acres
beebop	DOD	PA	SCP2	N42001PM3_3040_3340	Non-Regulated Roads	1.4719382385919277	Acres
beebop	DOD	PA	SCP1	N42001PM3_3040_3340	Non-Regulated Roads	11.631714217018141	Acres
beebop	DOD	PA	SCP8	N42001PM3_3040_3340	Non-Regulated Roads	7.289682419528005	Acres
beebop	DOD	PA	SCP7	N42001PM3_3040_3340	Non-Regulated Roads	5.643646947999274	Acres
beebop	DOD	PA	BioRetNoUDAB	N42001PM3_3040_3340	Non-Regulated Roads	8.478847526764403	Acres
beebop	DOD	PA	BioRetUDAB	N42001PM3_3040_3340	Non-Regulated Roads	2.161387908340122	Acres
beebop	DOD	PA	BioRetUDCD	N42001PM3_3040_3340	Non-Regulated Roads	1.947767893842353	Acres
beebop	DOD	PA	BioSwale	N42001PM3_3040_3340	Non-Regulated Roads	1.426666669387713	Acres
beebop	DOD	PA	DirtGravelDSA	N42001PM3_3040_3340	Non-Regulated Roads	3.454075866053934	Acres
beebop	DOD	PA	DirtGravelDSAOut	N42001PM3_3040_3340	Non-Regulated Roads	0.03954119449651781	Acres
beebop	DOD	PA	DirtGravelnoDSA	N42001PM3_3040_3340	Non-Regulated Roads	1.915438914407167	Acres
beebop	DOD	PA	DryPonds	N42001PM3_3040_3340	Non-Regulated Roads	1.439560230047607	Acres
beebop	DOD	PA	ExtDryPonds	N42001PM3_3040_3340	Non-Regulated Roads	9.861436227542457	Acres
beebop	DOD	PA	UrbFilterRR	N42001PM3_3040_3340	Non-Regulated Roads	1.6742877321955292	Acres
beebop	DOD	PA	UrbFilterST	N42001PM3_3040_3340	Non-Regulated Roads	9.063046679424662	Acres
beebop	DOD	PA	Filter	N42001PM3_3040_3340	Non-Regulated Roads	12.444206911945024	Acres
beebop	DOD	PA	FTW1	N42001PM3_3040_3340	Non-Regulated Roads	8.964664400785026	Acres
beebop	DOD	PA	FTW2	N42001PM3_3040_3340	Non-Regulated Roads	11.349918490544155	Acres
beebop	DOD	PA	FTW3	N42001PM3_3040_3340	Non-Regulated Roads	2.6355005646837153	Acres
beebop	DOD	PA	FTW4	N42001PM3_3040_3340	Non-Regulated Roads	10.663313161921495	Acres
beebop	DOD	PA	FTW5	N42001PM3_3040_3340	Non-Regulated Roads	3.2394340645148776	Acres
beebop	DOD	PA	ImperviousDisconnection	N42001PM3_3040_3340	Non-Regulated Roads	3.3010189381313295	Acres
beebop	DOD	PA	ImpSurRed	N42001PM3_3040_3340	Non-Regulated Roads	12.542924267199481	Acres
beebop	DOD	PA	InfiltWithSV	N42001PM3_3040_3340	Non-Regulated Roads	8.21785003493151	Acres
beebop	DOD	PA	Infiltration	N42001PM3_3040_3340	Non-Regulated Roads	11.75132744915653	Acres
beebop	DOD	PA	SCP11	N42001PM3_3040_3340	Non-Regulated Roads	12.572724318643631	Acres
beebop	DOD	PA	SCP10	N42001PM3_3040_3340	Non-Regulated Roads	9.416702842361094	Acres
beebop	DOD	PA	SCP9	N42001PM3_3040_3340	Non-Regulated Roads	0.7528066352074136	Acres
beebop	DOD	PA	PermPavSVNoUDAB	N42001PM3_3040_3340	Non-Regulated Roads	1.0652507229813342	Acres
beebop	DOD	PA	PermPavSVUDAB	N42001PM3_3040_3340	Non-Regulated Roads	0.29177993000308694	Acres
beebop	DOD	PA	PermPavSVUDCD	N42001PM3_3040_3340	Non-Regulated Roads	9.64173983304026	Acres
beebop	DOD	PA	PermPavNoSVNoUDAB	N42001PM3_3040_3340	Non-Regulated Roads	12.222600469475172	Acres
beebop	DOD	PA	PermPavNoSVUDAB	N42001PM3_3040_3340	Non-Regulated Roads	12.623266394238524	Acres
beebop	DOD	PA	PermPavNoSVUDCD	N42001PM3_3040_3340	Non-Regulated Roads	2.0378092639345846	Acres
beebop	DOD	PA	StormDrainClean	N42001PM3_3040_3340	Non-Regulated Roads	0.013691374783202105	Acres
beebop	DOD	PA	RR	N42001PM3_3040_3340	Non-Regulated Roads	5.019570337949284	Acres
beebop	DOD	PA	ST	N42001PM3_3040_3340	Non-Regulated Roads	12.133245716336736	Acres
beebop	DOD	PA	UrbanTreePlant	N42001PM3_3040_3340	Non-Regulated Roads	5.028578065470625	Acres
beebop	DOD	PA	VegOpChanNoUDAB	N42001PM3_3040_3340	Non-Regulated Roads	4.584902763817593	Acres
beebop	DOD	PA	VegOpChanNoUDCD	N42001PM3_3040_3340	Non-Regulated Roads	11.661003907136402	Acres
beebop	DOD	PA	WetPondWetland	N42001PM3_3040_3340	Non-Regulated Roads	4.582350683947051	Acres
beebop	DOD	PA	BioRetNoUDAB	N42001PM3_3040_3340	Non-Regulated Buildings and Other	4.390322887125496	Acres
beebop	DOD	PA	BioRetUDAB	N42001PM3_3040_3340	Non-Regulated Buildings and Other	5.977241221419678	Acres
beebop	DOD	PA	BioRetUDCD	N42001PM3_3040_3340	Non-Regulated Buildings and Other	4.829370419134097	Acres
beebop	DOD	PA	BioSwale	N42001PM3_3040_3340	Non-Regulated Buildings and Other	2.4624481243903964	Acres
beebop	DOD	PA	DryPonds	N42001PM3_3040_3340	Non-Regulated Buildings and Other	5.849987442220793	Acres
beebop	DOD	PA	ExtDryPonds	N42001PM3_3040_3340	Non-Regulated Buildings and Other	1.1305841444688252	Acres
beebop	DOD	PA	UrbFilterRR	N42001PM3_3040_3340	Non-Regulated Buildings and Other	2.295804533088954	Acres
beebop	DOD	PA	UrbFilterST	N42001PM3_3040_3340	Non-Regulated Buildings and Other	7.665058154582013	Acres
beebop	DOD	PA	Filter	N42001PM3_3040_3340	Non-Regulated Buildings and Other	7.048500881812941	Acres
beebop	DOD	PA	FTW1	N42001PM3_3040_3340	Non-Regulated Buildings and Other	2.8482654242840693	Acres
beebop	DOD	PA	FTW2	N42001PM3_3040_3340	Non-Regulated Buildings and Other	5.316421483857644	Acres
beebop	DOD	PA	FTW3	N42001PM3_3040_3340	Non-Regulated Buildings and Other	6.622230143988323	Acres
beebop	DOD	PA	FTW4	N42001PM3_3040_3340	Non-Regulated Buildings and Other	7.617305831247717	Acres
beebop	DOD	PA	FTW5	N42001PM3_3040_3340	Non-Regulated Buildings and Other	2.6603880824018833	Acres
beebop	DOD	PA	ImperviousDisconnection	N42001PM3_3040_3340	Non-Regulated Buildings and Other	3.0791032903832463	Acres
beebop	DOD	PA	ImpSurRed	N42001PM3_3040_3340	Non-Regulated Buildings and Other	2.7552420556067285	Acres
beebop	DOD	PA	InfiltWithSV	N42001PM3_3040_3340	Non-Regulated Buildings and Other	1.9411316692275034	Acres
beebop	DOD	PA	Infiltration	N42001PM3_3040_3340	Non-Regulated Buildings and Other	8.490528397837009	Acres
beebop	DOD	PA	PermPavSVNoUDAB	N42001PM3_3040_3340	Non-Regulated Buildings and Other	5.964662979290673	Acres
beebop	DOD	PA	PermPavSVUDAB	N42001PM3_3040_3340	Non-Regulated Buildings and Other	2.6582921757956015	Acres
beebop	DOD	PA	PermPavSVUDCD	N42001PM3_3040_3340	Non-Regulated Buildings and Other	2.5751953839766677	Acres
beebop	DOD	PA	PermPavNoSVNoUDAB	N42001PM3_3040_3340	Non-Regulated Buildings and Other	5.336406229053046	Acres
beebop	DOD	PA	PermPavNoSVUDAB	N42001PM3_3040_3340	Non-Regulated Buildings and Other	3.575669894197535	Acres
beebop	DOD	PA	PermPavNoSVUDCD	N42001PM3_3040_3340	Non-Regulated Buildings and Other	0.2968712031198481	Acres
beebop	DOD	PA	StormDrainClean	N42001PM3_3040_3340	Non-Regulated Buildings and Other	3.8998146608391653	Acres
beebop	DOD	PA	RR	N42001PM3_3040_3340	Non-Regulated Buildings and Other	0.46955340808539553	Acres
beebop	DOD	PA	ST	N42001PM3_3040_3340	Non-Regulated Buildings and Other	1.970058882903386	Acres
beebop	DOD	PA	UrbanTreePlant	N42001PM3_3040_3340	Non-Regulated Buildings and Other	1.0927010077279078	Acres
beebop	DOD	PA	VegOpChanNoUDAB	N42001PM3_3040_3340	Non-Regulated Buildings and Other	5.865488966678785	Acres
beebop	DOD	PA	VegOpChanNoUDCD	N42001PM3_3040_3340	Non-Regulated Buildings and Other	0.52458880402712	Acres
beebop	DOD	PA	WetPondWetland	N42001PM3_3040_3340	Non-Regulated Buildings and Other	1.9118354817703214	Acres
beebop	DOD	PA	SCP6	N42001PM3_3040_3340	Non-Regulated Tree Canopy over Impervious	2.887315513289073	Acres
